Unnamed: 0,storeID,cube,Window Open,Window Close,Max Trailer Length,Equipment Type Restrictions,address
0,15501,0,00:00,23:59,,['reefer liftgate'],"294 Revco Rd, Somerset, PA 15501, United States"
1,5898,562,06:00,12:00,28,['reefer liftgate'],"2800 Egypt Rd, Norristown, PA 19403-2106, United States"
2,8495,872,02:00,08:00,48,['reefer liftgate'],"Oregon Pike, Lancaster, PA 17601, United States"
3,6916,596,07:00,13:00,48,['reefer liftgate'],"CVS/pharmacy, 560 Old York Rd, New Cumberland, PA 17070, United States"
4,2032,892,06:00,12:00,48,['reefer liftgate'],"1210 W Main St, Norristown, PA 19401-4333, United States"
5,2969,685,05:00,11:00,48,['reefer liftgate'],"3284 Conrad Weiser Pkwy, Womelsdorf, PA 19567-1705, United States"
6,1631,653,06:00,07:00,48,['reefer liftgate'],"2210 Cumberland St, Lebanon, PA 17042-2520, United States"
7,2046,725,05:00,11:00,32,['reefer liftgate'],"706 Dekalb St, Norristown, PA 19405-1111, United States"
8,2053,721,09:00,11:00,32,['reefer liftgate'],"70 Church St, Landisville, PA 17538-1362, United States"
9,1672,704,08:00,14:00,48,['reefer liftgate'],"1433 S Market St, Elizabethtown, PA 17022, United States"
10,7073,600,08:00,14:00,48,['reefer liftgate'],"299 Pottstown Ave, Pennsburg, PA 18073-1819, United States"
11,2158,697,09:00,15:00,32,['reefer liftgate'],"348 N Prince St, Lancaster, PA 17603-3008, United States"
12,4060,707,01:00,07:00,48,['reefer liftgate'],"2183 Spring Valley Rd, Lancaster, PA 17601-2443, United States"
13,1625,657,06:00,12:00,48,['reefer liftgate'],"Meade Rd, Middletown, PA 17057, United States"
14,1624,516,07:00,13:00,48,['reefer liftgate'],"Green Drop, 5001 Jonestown Rd, Harrisburg, PA 17112, United States"
15,10694,987,03:00,09:00,48,['reefer liftgate'],"153 W Lincoln Hwy, Exton, PA 19341, United States"
16,1401,783,00:00,06:00,48,['reefer liftgate'],"133 Schuylkill Rd, Phoenixville, PA 19460, United States"
17,2730,708,07:00,13:00,48,['reefer liftgate'],"N Lewis Rd, Royersford, PA 19468, United States"
18,4772,665,07:00,13:00,48,['reefer liftgate'],"807 Bridge St, Spring City, PA 19475-1102, United States"
19,8979,50,03:00,09:00,48,['reefer liftgate'],"2576 Elmerton Ave, Harrisburg, PA 17177-9764, United States"
20,2297,682,01:00,07:00,48,['reefer liftgate'],"363 N Broad St, Lititz, PA 17543-1028, United States"
21,7132,834,03:00,09:00,48,['reefer liftgate'],"Thorndale, E Lincoln Hwy, Thorndale, PA 19372, United States"
22,2951,632,01:00,07:00,48,['reefer liftgate'],"Pottstown Pike, Chester Springs, PA 19425, United States"
23,4773,689,07:00,13:00,48,['reefer liftgate'],"2001 Swamp Pike, Gilbertsville, PA 19525-9725, United States"
24,4064,599,04:00,05:00,48,['reefer liftgate'],"39 S 6th St, Reading, PA 19602-1104, United States"
25,1769,757,07:00,13:00,48,['reefer liftgate'],"W Leesport Rd, Leesport, PA 19533, United States"
26,7838,706,06:30,12:30,48,['reefer liftgate'],"1149 Benjamin Franklin Hwy, Douglassville, PA 19518-1829, United States"
27,1323,778,04:00,10:00,48,['reefer liftgate'],"Route 61 Hwy S, Pottsville, PA 17901, United States"
28,1917,1288,06:00,09:00,32,['reefer liftgate'],"6013 Allentown Blvd, Harrisburg, PA 17112-2602, United States"
29,233,1025,03:00,09:00,48,['reefer liftgate'],"West Chester Pk & Boot Rd, Newtown Square, PA 19073, United States"
30,1650,696,03:00,09:00,48,['reefer liftgate'],"126 Hockersville Rd, Hershey, PA 17033-1962, United States"
31,276,783,06:00,12:00,48,['reefer liftgate'],"Wilmington Pike, West Chester, PA 19382, United States"
32,1914,888,08:00,14:00,48,['reefer liftgate'],"1760 Quentin Rd, Lebanon, PA 17042-7434, United States"
33,305,730,18:00,23:59,48,['reefer liftgate'],"1833 E High St, Pottstown, PA 19464-3207, United States"
34,370,739,05:00,11:00,48,['reefer liftgate'],"MoneyGram, 316 E Lancaster Ave, Wayne, PA 19087, United States"
35,1920,554,07:00,13:00,48,['reefer liftgate'],"829 Bowman St, Lebanon, PA 17046-8432, United States"
36,4215,50,02:00,08:00,48,['reefer liftgate'],"2915 Carol Rd, York, PA 17402-4102, United States"
37,1641,620,07:00,13:00,48,['reefer liftgate'],"2057 Eg Dr, Harrisburg, PA 17110, United States"
38,1640,50,10:00,16:00,48,['reefer liftgate'],"Libertyx Bitcoin ATM, 4686 US-209, Elizabethville, PA 17023, United States"
39,1324,691,05:00,11:00,48,['reefer liftgate'],"250 One Norwegian Plz, Pottsville, PA 17901-3058, United States"
40,11040,1009,05:00,11:00,48,['reefer liftgate'],"126 E Main St, Hummelstown, PA 17036-1620, United States"
41,1048,688,02:00,08:00,48,['reefer liftgate'],"ATM CVS, 351 W Schuylkill Rd, Pottstown, PA 19465, United States"
42,1074,767,18:00,23:59,48,['reefer liftgate'],"872 E Baltimore Pike, Kennett Square, PA 19348, United States"
43,1923,972,04:00,10:00,48,['reefer liftgate'],"3101 Shillington Rd, Reading, PA 19608-1606, United States"
44,1301,770,05:00,11:00,48,['reefer liftgate'],"Jacquelyn Kolosow Photography, 100 Constitution Blvd, Kutztown, PA 19530, United States"
45,1675,718,01:00,07:00,48,['reefer liftgate'],"20 Charles Rd, Lancaster, PA 17603-6624, United States"
46,10896,939,03:00,09:00,48,['reefer liftgate'],"795 W Lancaster Ave, Wayne, PA 19087, United States"
47,1310,763,03:00,09:00,48,['reefer liftgate'],"95 Montgomery Ave, Boyertown, PA 19512, United States"
48,1315,754,04:00,10:00,48,['reefer liftgate'],"1101 S West End Blvd, Quakertown, PA 18951-5207, United States"
49,6042,739,06:30,12:30,32,['reefer liftgate'],"3199 Grenway Rd, Dover, PA 17315-4558, United States"
50,1319,701,08:00,14:00,48,['reefer liftgate'],"1051 Shoemaker Ave, Shoemakersville, PA 19555-1644, United States"
51,1321,827,00:00,06:00,48,['reefer liftgate'],"Bojangles', N 5th St Hwy, Reading, PA 19605, United States"
52,1922,50,12:00,18:00,48,['reefer liftgate'],"Grayson Rd, Harrisburg, PA 17111, United States"
53,5734,50,01:00,07:00,48,['reefer liftgate'],"1101 Rockland St, Reading, PA 19604, United States"
54,1805,878,05:00,11:00,48,['reefer liftgate'],"Fisherville Rd, Coatesville, PA 19320, United States"
55,5090,781,06:00,12:00,48,['reefer liftgate'],"W Liberty St, Lancaster, PA 17603, United States"
56,7275,688,03:00,09:00,48,['reefer liftgate'],"735 Lombard Rd, Red Lion, PA 17356-8226, United States"
57,1665,689,03:00,09:00,48,['reefer liftgate'],"118 Doe Run Rd, Manheim, PA 17545-8502, United States"
58,5064,707,05:00,11:00,48,['reefer liftgate'],"72 E Lancaster Ave, Malvern, PA 19355-2142, United States"
59,2688,872,16:00,22:00,48,['reefer liftgate'],"72 Park Ave, Collegeville, PA 19426, United States"
60,1663,805,03:00,09:00,48,['reefer liftgate'],"S Shirk Rd, New Holland, PA 17557, United States"
61,5721,1077,00:00,06:00,48,['reefer liftgate'],"15 New Joy Dr, Ephrata, PA 17522-8770, United States"
62,1668,875,02:00,08:00,48,['reefer liftgate'],"611 Centerville Rd, Lancaster, PA 17601-1307, United States"
63,2481,788,02:00,08:00,48,['reefer liftgate'],"215 S Henderson Rd, King of Prussia, PA 19406-2416, United States"
64,5065,50,06:00,12:00,48,['reefer liftgate'],"8568 Allentown Pike, Blandon, PA 19510-9460, United States"
65,2784,1030,02:00,08:00,48,['reefer liftgate'],"865 W Baltimore Pike, West Grove, PA 19390-9189, United States"
66,2494,679,06:00,12:00,48,['reefer liftgate'],"528 W Main St, Mt Joy, PA 17552-1122, United States"
67,1667,638,03:00,09:00,48,['reefer liftgate'],"1031 Lititz Pike, Lititz, PA 17543, United States"
68,2495,721,05:00,11:00,48,['reefer liftgate'],"W Lancaster Ave, Downingtown, PA 19335, United States"
69,1669,1044,07:00,13:00,48,['reefer liftgate'],"390 Willow Valley Sq, Willow Street, PA 17584, United States"
70,2687,607,02:00,08:00,48,['reefer liftgate'],"124 Sheree Blvd, Exton, PA 19341-1231, United States"
71,1662,628,03:00,06:00,48,['reefer liftgate'],"1624 Lincoln Hwy E, Lancaster, PA 17602-2610, United States"
72,7239,693,07:00,13:00,48,['reefer liftgate'],"1200 W Baltimore Pike, Media, PA 19063-5702, United States"
73,1670,50,03:00,09:00,32,['reefer liftgate'],"633 Locust St, Columbia, PA 17512-1226, United States"
74,4984,762,05:00,11:00,48,['reefer liftgate'],"871 Baltimore Pike, Glen Mills, PA 19317-9351, United States"
75,3242,724,04:00,10:00,48,['reefer liftgate'],"2 S Kenhorst Blvd, Reading, PA 19607-2026, United States"
76,2575,50,07:00,13:00,48,['reefer liftgate'],"4035 N George St, Manchester, PA 17345, United States"
77,2370,766,07:00,13:00,32,['reefer liftgate'],"3854 Derry St, Harrisburg, PA 17111-2233, United States"
78,4020,866,10:00,16:00,48,['reefer liftgate'],"203 Fieldcrest Dr, Nottingham, PA 19362-9797, United States"
79,1582,947,03:00,09:00,48,['reefer liftgate'],"160 Hill St, Danville, PA 17821, United States"
80,2371,747,02:00,08:00,48,['reefer liftgate'],"1 Good Dr, Lancaster, PA 17603, United States"
81,2690,728,03:00,09:00,48,['reefer liftgate'],"Blinds48, 25 Kugler Rd, Royersford, PA 19468, United States"
82,7259,1051,04:00,10:00,48,['reefer liftgate'],"Gravel Pike, Schwenksville, PA 19473, United States"
83,1654,795,01:00,07:00,48,['reefer liftgate'],"Harvard St, York, PA 17404, United States"
84,1671,985,16:00,22:00,48,['reefer liftgate'],"1511 Lititz Pike, Lancaster, PA 17601-6505, United States"
85,1657,1105,03:00,09:00,48,['reefer liftgate'],"2080 S Queen St, York, PA 17403-4829, United States"
86,10399,791,05:00,07:00,48,['reefer liftgate'],"3371 E Lincoln Hwy, Parkesburg, PA 19365-2111, United States"
87,5723,785,04:00,10:00,48,['reefer liftgate'],"612 S Main St, Shrewsbury, PA 17361-1714, United States"
88,10045,626,01:00,07:00,48,['reefer liftgate'],"2224 Perkiomen Ave, Reading, PA 19606-1830, United States"
